Journal title,Journal URL,URL in DOAJ,When did the journal start to publish all content using an open license?,Alternative title,Journal ISSN (print version),Journal EISSN (online version),Keywords,Languages in which the journal accepts manuscripts,Publisher,Country of publisher,Society or institution,Country of society or institution,Journal license,License attributes,URL for license terms,Machine-readable CC licensing information embedded or displayed in articles,URL to an example page with embedded licensing information,Author holds copyright without restrictions,Copyright information URL,Review process,Review process information URL,Journal plagiarism screening policy,Plagiarism information URL,URL for journal's aims & scope,URL for the Editorial Board page,URL for journal's instructions for authors,Average number of weeks between article submission and publication,APC,APC information URL,APC amount,Journal waiver policy (for developing country authors etc),Waiver policy information URL,Has other fees,Other fees information URL,Preservation Services,Preservation Service: national library,Preservation information URL,Deposit policy directory,URL for deposit policy,Persistent article identifiers,Article metadata includes ORCIDs,Journal complies with I4OC standards for open citations,Does the journal comply to DOAJ's definition of open access?,URL for journal's Open Access statement,Continues,Continued By,LCC Codes,Subjects,DOAJ Seal,Added on Date,Last updated Date,Number of Article Records,Most Recent Article Added
Acta Biochimica Polonica,https://ojs.ptbioch.edu.pl/index.php/abp,https://doaj.org/toc/eea321d7f4c34a59be8fd1203558c1b5,0001-527X,1734-154X,Poland,Yes,No,,,
Revista Alergia México,http://revistaalergia.mx/ojs/index.php/ram,https://doaj.org/toc/f9a8ddd0118d4ceea5591cb27eb40bcb,0002-5151,2448-9190,Mexico,Yes,Yes,editor.ram@cmica.com.mx,editor.ram@cmica.com.mx,editor.ram@cmica.com.mx
Ciceroniana,http://www.ojs.unito.it/index.php/COL/index,https://doaj.org/toc/78fb09df0d7349f0a43b6256d79656f2,0009-6687,2532-5299,Italy,No,No,,,
Darwiniana,http://www.ojs.darwin.edu.ar/index.php/darwiniana/index,https://doaj.org/toc/889768ae68c34f02853356b947b3ca81,0011-6793,1850-1702,Argentina,No,No,rpozner@darwin.edu.ar,mponce@darwin.edu.ar,rpozner@darwin.edu.ar
Fennia: International Journal of Geography,http://ojs.tsv.fi/index.php/fennia,https://doaj.org/toc/cd307e404328449e8d985edb55908914,0015-0010,1798-5617,Finland,No,No,,,
Filosofia,http://www.ojs.unito.it/index.php/filosofia/index,https://doaj.org/toc/88b822676a824738b31dec091a94cff5,0015-1823,2704-8195,Italy,No,No,,,
Maal og Minne,http://ojs.novus.no/index.php/MOM,https://doaj.org/toc/7ceeec09e2f745ba8cd32b65bc56922f,0024-855X,1890-5455,Norway,No,No,,,
Revista Brasileira de Estudos Pedagógicos,http://rbep.inep.gov.br/ojs3/index.php/rbep/issue/archive,https://doaj.org/toc/e2101c49d2c4413da67985a7378a2a32,0034-7183,2176-6681,Brazil,No,No,editoria.rbep@inep.gov.br,editoria.rbep@inep.gov.br,editoria.rbep@inep.gov.br
Boletim da Sociedade Paranaense de Matemática,http://www.periodicos.uem.br/ojs/index.php/BSocParanMat/index,https://doaj.org/toc/6c67b57948b84591852016e5edd089ed,0037-8712,2175-1188,Brazil,No,No,bspm@uem.br,bspm@uem.br,bspm@uem.br
Veritas,http://revistaseletronicas.pucrs.br/ojs/index.php/veritas,https://doaj.org/toc/0402c3d950174e498b777e88a7c7f52b,0042-3955,1984-6746,Brazil,No,No,veritas@pucrs.br,veritas@pucrs.br,veritas@pucrs.br
Cuadernos de Historia del Arte,http://revistas.uncu.edu.ar/ojs3/index.php/cuadernoshistoarte/index,https://doaj.org/toc/041baa2be2da41f3888b2025e1b8a549,0070-1688,2618-5555,Argentina,No,No,,iharte@ffyl.uncu.edu.ar,iharte@ffyl.uncu.edu.ar
